1,0.000219,0.000244
2,0.000072,0.000089
3,0.000073,0.000084
4,0.000089,0.000072
5,0.000054,0.000066
6,0.000049,0.000095
7,0.000040,0.000097
8,0.000035,0.000075
9,0.000030,0.000053
10,0.000028,0.000042
11,0.000030,0.000040
12,0.000023,0.000042
13,0.000021,0.000038
14,0.000019,0.000035
15,0.000015,0.000030
16,0.000017,0.000026
17,0.000015,0.000024
18,0.000014,0.000022
19,0.000011,0.000020
20,0.000010,0.000018
21,0.000011,0.000017
22,0.000011,0.000016
23,0.000010,0.000015
24,0.000010,0.000015
25,0.000009,0.000014
26,0.000008,0.000013
27,0.000008,0.000013
28,0.000008,0.000012
29,0.000007,0.000012
30,0.000007,0.000012
31,0.000006,0.000012
32,0.000007,0.000012
33,0.000006,0.000012
34,0.000006,0.000012
35,0.000006,0.000012
36,0.000005,0.000012
37,0.000005,0.000012
38,0.000005,0.000012
39,0.000005,0.000011
40,0.000005,0.000011
41,0.000006,0.000011
42,0.000004,0.000011
43,0.000004,0.000011
44,0.000005,0.000011
45,0.000005,0.000011
46,0.000006,0.000011
47,0.000004,0.000011
48,0.000006,0.000011
49,0.000005,0.000011
50,0.000005,0.000010
